X,Y,OBJECTID,TRAPTYPE,ATTRACTANTSUSED,TRAPID,LATITUDE,LONGITUDE,ADDRESS,TOWN,STATE,COUNTY,TRAPSITE,TRAPSET,SETTIMEOFDAY,TRAPCOLLECT,COLLECTTIMEOFDAY,GENUS,SPECIES,LIFESTAGE,EGGSCOLLECTED,LARVAECOLLECTED,PUPAECOLLECTED,FEMALESCOLLECTED,MALESCOLLECTED,UNKNOWNCOLLECTED,REPORTDATE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8570034.414,4702301.206,1868,BGS Trap,Lure,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/06/12 04:00:00+00,Afternoon,2018/06/13 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,2,8,0,2018/06/25 20:54:00+00,temp_1062,{47E2195A-D981-449B-BB80-755D237A526C},,,,
-8570034.414,4702301.206,1869,Gravid Trap,Hay or grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/09/25 04:00:00+00,Afternoon,2018/09/26 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,6,2,0,2018/10/05 17:40:00+00,temp_1451,{66D79C2D-5132-4A2E-931A-3B0853B55BE2},,,,
-8570034.414,4702301.206,1870,BGS Trap,Lure,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/07/17 04:00:00+00,Morning,2018/07/18 04:00:00+00,Morning,Aedes,albopictus,Adult,No,No,No,6,1,0,2018/08/24 18:57:00+00,temp_1157,{8A46D4EF-DE34-42C7-BEFF-56D8640DE15E},,,,
-8570034.414,4702301.206,1871,Gravid Trap,Lure and grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/05/31 04:00:00+00,Morning,2017/06/01 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,30,9,0,2017/09/18 21:59:00+00,temp_294,{502B92CB-B4BB-4D23-8658-966C58872327},,,,
-8570034.414,4702301.206,1872,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/09/20 04:00:00+00,Morning,2017/09/21 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,3,1,0,2017/09/25 21:18:00+00,temp_196,{46210096-E6B2-4B01-A4DD-3B457B553B0A},,,,
-8570034.414,4702301.206,1873,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/08/09 04:00:00+00,Morning,2017/08/10 04:00:00+00,Afternoon,Aedes,aegypti,Adult,No,No,No,8,16,0,2017/09/26 14:19:00+00,temp_389,{48AC102D-5E7D-45BC-B8BE-36B21ECD7CC8},,,,
-8570034.414,4702301.206,1874,Gravid Trap,Lure and grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/09/06 04:00:00+00,Morning,2017/09/07 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,3,2,0,2017/09/11 22:17:00+00,temp_88,{CE24183C-3BCC-45A8-8B83-D1EC6E34466A},,,,
-8570034.414,4702301.206,1875,Gravid Trap,Hay or grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/10/02 04:00:00+00,Afternoon,2018/10/03 04:00:00+00,Afternoon,Aedes,aegypti,Adult,No,No,No,3,0,0,2018/10/05 19:09:00+00,temp_1290,{71E517A4-6B2F-48D0-A32F-D849E07D12FD},,,,
-8570034.414,4702301.206,1876,Gravid Trap,Lure and grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/08/16 04:00:00+00,Morning,2017/08/17 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,14,9,0,2017/09/26 16:47:00+00,temp_456,{9291A7AA-5492-493A-B529-2BB1513FEB94},,,,
-8570034.414,4702301.206,1877,BGS Trap,Lure,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/09/18 04:00:00+00,Afternoon,2018/09/19 04:00:00+00,Afternoon,Aedes,sp.,Adult,No,No,No,8,10,0,2018/10/05 17:05:00+00,temp_1316,{A0967A5A-944D-423A-A973-55A8371CE170},,,,
-8570034.414,4702301.206,1878,BGS Trap,Lure,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/06/19 04:00:00+00,Afternoon,2018/06/20 04:00:00+00,Afternoon,Aedes,sp.,Adult,No,No,No,10,22,0,2018/06/25 21:38:00+00,temp_1239,{BC88F921-ADFF-497C-9C2E-8A805C590FF1},,,,
-8570034.414,4702301.206,1879,Gravid Trap,Hay or grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/09/04 04:00:00+00,Afternoon,2018/09/05 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,6,3,0,2018/10/05 15:11:00+00,temp_1026,{E30D6850-0645-450C-BED3-85DC57B0DE08},,,,
-8570034.414,4702301.206,1880,BGS Trap,Lure,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/10/30 04:00:00+00,Afternoon,2018/10/31 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,2,0,0,2018/11/05 15:40:00+00,temp_771,{BA24E02C-EA5F-472C-B569-02AB38671556},,,,
-8570034.414,4702301.206,1881,Gravid Trap,Hay or grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/10/02 04:00:00+00,Afternoon,2018/10/03 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,3,2,0,2018/10/05 19:10:00+00,temp_1303,{398FBFA3-1E2C-4677-90BB-9986A96A389D},,,,
-8570034.414,4702301.206,1882,BGS Trap,Lure,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/09/25 04:00:00+00,Afternoon,2018/09/26 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,10,5,0,2018/10/05 17:43:00+00,temp_1454,{AADFA931-5A47-4496-B09C-AD3418A880D6},,,,
-8570034.414,4702301.206,1883,Gravid Trap,Hay or grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/09/11 04:00:00+00,Afternoon,2018/09/12 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,5,1,0,2018/10/05 16:37:00+00,temp_1305,{C5A8E83E-C2D5-4B5D-BF54-E504093A9646},,,,
-8570034.414,4702301.206,1884,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/08/23 04:00:00+00,Morning,2017/08/24 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,9,0,0,2017/09/11 20:26:00+00,temp_39,{7575F66F-E27F-4C74-8091-E462368CAED1},,,,
